"X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Hencky","eyy [1] - Hencky","exy [1] - Hencky","e1 [1] - Hencky","e2 [1] - Hencky","gamma [1] - Hencky","cxx [1/mm] - 31 filter","cyy [1/mm] - 31 filter","cxy [1/mm] - 31 filter","c1 [1/mm] - 31 filter","c2 [1/mm] - 31 filter","gamma_c [1] - 31 filter","phi [rad] - 15 filter","sigma [pixel]","q_ref [pixel]","r_ref [pixel]"
-10,-10,9.97766,-0.711425,-0.240809,9.85609,0.0879538,0.0226533,0.00169953,0.0879981,0.0226089,0.0260019,-0.0112901,-0.00230772,0.000190801,-0.00230363,-0.0112942,1.54957,-0.00702423,0.00494675,240.161,-12.1307
-9.5,-10,10.091,-0.680428,-0.243219,9.96488,0.0879085,0.0229244,0.00160702,0.0879483,0.0228845,0.0247088,-0.0112834,-0.00230497,0.000154927,-0.00230226,-0.0112862,1.55355,-0.00669098,0.00502837,240.023,-12.1981
-9,-10,10.1973,-0.64888,-0.245526,10.0666,0.0878357,0.02318,0.00153628,0.0878722,0.0231434,0.0237429,-0.0112752,-0.00230043,0.000121964,-0.00229874,-0.0112769,1.55721,-0.00636515,0.00490575,239.89,-12.2644
-8.5,-10,10.2971,-0.61637,-0.24797,10.163,0.087749,0.0234195,0.00147826,0.087783,0.0233855,0.0229635,-0.0112672,-0.00229357,9.70547e-05,-0.00229249,-0.0112683,1.55998,-0.00604609,0.0046444,239.767,-12.3257
-8,-10,10.391,-0.582598,-0.250437,10.2543,0.0876802,0.0236437,0.00142811,0.0877121,0.0236119,0.0222873,-0.0112617,-0.00228462,8.32654e-05,-0.00228383,-0.0112625,1.56152,-0.00573388,0.00469237,239.653,-12.39
-7.5,-10,10.4805,-0.547899,-0.252436,10.341,0.0876386,0.0238518,0.00138171,0.0876685,0.0238218,0.0216488,-0.0112602,-0.00227443,8.08309e-05,-0.0022737,-0.0112609,1.5618,-0.00542794,0.00489129,239.542,-12.4583
-7,-10,10.5623,-0.511715,-0.254398,10.4195,0.0875992,0.0240426,0.0013373,0.0876274,0.0240145,0.0210297,-0.0112623,-0.00226425,8.71635e-05,-0.0022634,-0.0112632,1.56111,-0.00512096,0.00485342,239.432,-12.5229
-6.5,-10,10.6389,-0.474663,-0.256382,10.4918,0.0875486,0.0242183,0.00129308,0.087575,0.0241919,0.0204076,-0.0112657,-0.00225535,9.75974e-05,-0.00225429,-0.0112668,1.55997,-0.00480546,0.00479827,239.32,-12.5818
-6,-10,10.7105,-0.437201,-0.258231,10.5595,0.0874977,0.0243809,0.00124057,0.0875221,0.0243565,0.0196459,-0.0112665,-0.00224878,0.000106739,-0.00224751,-0.0112678,1.55896,-0.00448151,0.00470136,239.214,-12.64
-5.5,-10,10.7759,-0.399807,-0.259584,10.6223,0.0874664,0.0245318,0.00117532,0.0874884,0.0245098,0.0186674,-0.0112611,-0.00224522,0.000109968,-0.00224388,-0.0112624,1.5586,-0.00414991,0.00469906,239.12,-12.6959
-5,-10,10.8357,-0.362242,-0.260617,10.6805,0.0874555,0.0246729,0.00109708,0.0874746,0.0246537,0.0174679,-0.0112474,-0.00224489,0.000104845,-0.00224366,-0.0112486,1.55915,-0.00381238,0.00504265,239.036,-12.7582
-4.5,-10,10.889,-0.323328,-0.261774,10.7319,0.0874391,0.0248028,0.00100872,0.0874554,0.0247865,0.0160995,-0.0112267,-0.00224757,9.18009e-05,-0.00224663,-0.0112276,1.56057,-0.0034673,0.00533457,238.953,-12.8246
-4,-10,10.9371,-0.283304,-0.263097,10.7781,0.0874065,0.024918,0.000912725,0.0874198,0.0249047,0.0146026,-0.0112028,-0.00225274,7.36004e-05,-0.00225213,-0.0112034,1.56257,-0.00311597,0.00540116,238.875,-12.8896
